Id,Service,Countries,URL,Category,Focus keywords / tags,Genre,Available in countries,Language(s),Supported devices,Business model,Price_Month,Current owner,Nr of subscibers,Head- quarters,Logos
,Sling TV,Puerto Rico,https://www.sling.com/,Movies & TV Shows,"esports, cartoons, weather station, news, cartoons, documentaries, music channels, hbo","Horror, Action/Adventure, Romance, Drama, Cartoons, Weather, Cartoons, Documentaries, Nature, Talk and News, Music",I have the location info,"English, Spanish","computer, laptop, smart TVs, tablets and smartphones, apple devices, Roku, Xbox One, Mi Box",sVOD,"Sling Orange $30, Sling Blue $30 per month, Sling Orange + Sling Blue $45 ",Dish Network,"2.21 million","Meridian, Colorado, United States",-
,Starz Play,"Algeria,Bahrain,Egypt,Jordan,Kuwait,Lebanon,Morocco,Oman,Qatar,Saudi Arabia,Syria,Tunisia,UAE",https://arabia.starzplay.com/,Movies & TV Shows,"popular movies, tv shows, kids programme, cartoons, blockbusters, comedy","Action, Comedy, Inspiration, Biography, Thriller, Adventure, Fantasy, Romance, Drama, Epic, Family",I have the location info,"English, French, Arabian, Spanish","computer, laptop, smart TVs, tablets and smartphones, apple devices, Roku, Xbox One, Mi Box",sVOD,$8.99 per month,"Lionsgate",one million subscribers,"Meridian, Colorado, United States",https://i.imgur.com/6hfnQ86.png
,Illico,Canada,https://illicoweb.videotron.com/,Movies & TV Shows,"3D television, live tv, music, drama, documentary, crime, thriller, blockbusters, drama series, french channels, french series, film premiere, classic movies","Action and adventure, Teenagers, Cinema elsewhere, Quebec cinem, Comedy, Documentaries, Drama, Horror, Youth, Music, Police officer, Romance, Science Fiction and Fantasy, Suspenseful, Insidious, Superheroes - Marvel Studios, Superheroes - DC Comics, Decadence, The Smurfs, Harry Potter Collection, Paranormal Activity Collection, Star Trek Collection, Fast and dangerous collection, The circle",I have the location info,"English, French","computer, laptop, smartphones, smart TVs, apple devices",sVOD,Illico terminal device between $ 99  and $ 599,Vidéotron,-,"Montreal, Quebec, Canada",-
,HBO Now,USA ,https://hbogo.mk/,Movies & TV Shows,"current and past series, films, specials, sporting events, esports, cartoons","Action, adventure, Drama, Comedy, Crime, Romance, Thriller, Horror, Science fiction, Fantasy, Family, Documentary, Musically",I have the location info,"English, Espanol, Dansk, Bahasa Indonesia, Cheshtina, Deutsch, French, Italiano, Magyar, Nederlands, Nederlands, Norsk Bokmal, Polski, Portugues, Romana, Suomi, Svenska, Tieng Viet, Turkish, Greek, Chineese, Japanese, Indian, Macedonan, Russian etc.","computer, smartphone, tablet, Smart TV, iOS/iPadOS, Android and Android TV devices, Apple TV, Samsung Smart TVs, Xbox One, Amazon Fire TV, and Chromecast, PlayStation, Roku, TiVo",sVOD,$14.99/mo.,"Home Box Office, Inc.",140 million subscribers,"New York, New York, United States",-
,Sony Liv,India,https://www.sonyliv.com/,Movies & TV Shows,"indian series, esports, marathi movies, tamil movies, telugu movies, short movies, drama, romance, crime, thriller, action, Blockbuster Bollywood, Hollywood and Regional movies, Fitness ideas by top celebrity trainers, Diet plans by top celebrity nutritionists","Indian Shows, Shows - Sony Marathi, LIV Originals, Shows - Bangla, Telugu Shows, Tamil Shows, Reality Shows, Sports, Trending Movies, Marathi Movies, Bengali Movies, Gujarati Movies, Telugu Movies, Drama, Action, Comedy, Romance, Horror, Short Films",I have the location info,"English, Hindi","computer, laptop, smart TVs, tablets and smartphones, apple devices",sVOD,"India 99 Rs, Middle-East UAE, Kuwait, Qatar, Bahrain, Saudi Arabia 5.99 $,  South East Asia - Malaysia, Indonesia, Thailand, Hong Kong Philippines 3.99 $",Sony Pictures Networks India,-,India,-
,U-Next,Japan,https://video.unext.jp/feature/u-nexttv/,Movies & TV Shows,"cinema, japaneese movie, foreign drama, domestic drama, anime, family/documentary, variety, disney, karaoke","Japaneese movies, Domestic drama, Foreign drama, Anime, Family, Documentaries, Disney, Cartoons, Karaoke, Sports, Romance, Crime, Action, Thriller, Horror",I have the location info,Japaneese,"computer, laptop, smart TVs, tablets and smartphones, apple devices",sVOD,?,USEN-NEXT HOLDINGS 100%,-,"Japan, Yubinbango 141-0021, Shinagawa-ku, Tokyo Kamiosaki three chome No. 1 Meguro Central Square",-
,Dimsum,Malaysia,https://stream.dimsum.my/,Movies & TV Shows,"asian dramas, asian shows, serials, variety shows, children's programs, movies, documentaries, news, Malaysia Exclusive premieres, simultaneous broadcasts","Animation, Drama, Entertainment, Talk and News, Documentaries, Cartoons, Drama, Comedy",I have the location info,"English, Chinese & Malay ","Via Android TV, Samsung Smart TV, Chromecast & AirPlay",sVOD,RM13.90 a month,The Star Media Group,-,"Petaling Jaya, Malaysia.",-
,Olleh TV,South Korea,https://www.ustream.tv/channel/olleh-tv,Movies & TV Shows,"TV programs, movies, children's programs, sports, documentaries and animations","Sports, Sitcom, Documentary, Soap, Cartoon, Travel or Holiday, Kids/Children's, Drama, Animations, Cartoons, Action, Adventure, Comedy, Crime, Romance, Family, Fantasy, Horror, Thriller, Sci-Fi",I have the location info,Spanish,PlayStation 3 ,aVOD,-,KT and Sony Computer Entertainment,3.5 million,South Korea,https://i.imgur.com/9gc5zIj.png
,Pickbox,"Bosnia,Croatia,Macedonia,Montenegro,Serbia,Slovenia",https://www.pickbox.mk/,Movies & TV Shows,"european production movies and series, premiere movies and series","European series, Crime, Action, Adventure, Drama, Comedy, Family, Turkish series, Cartoons, Thriller, Horror",I have the location info,"Croatian, Serbian, Bosnian, Slovenian, Montenegro and Macedonian ","Smart TVs, computer, laptop, Chromecast, smartphones",sVOD,"Basic package 49kn, Popular package 249k, Family package 468kn",Sanja Bozic-Ljubicic,-,"Zagreb, Croatia",https://i.imgur.com/mb7sZx5.png
,Voyo,"Bulgaria,Czech Republic,Romania,Slovakia,Slovenia",https://voyo.bg/,Movies & TV Shows,"home production, blockbusters, esports, slovenian tv shows, slovenian music station","TV series, Sports, Bulgarian shows and series, Culinary shows, Talk and news, Comedians and friends, Bulgarian concerts",I have the location info,"English, Slovenian","PC, smartphones, tablets (iOS, Android) and smart TVs (LG, Philips, Samsung, Android TV",sVOD,7€,"Pro Plus (company)",-,"Slovenia",-
,ANT1 Next,Greece,https://www.ant1next.gr/,Movies & TV Shows,"comedies, dramas, news, current affairs programs, game shows, and entertainment shows","Comedy, Drama, Talk shows, News, Game shows, Entertainment shows",I have the location info,Greek,"PC, smartphones, tablets (iOS, Android) and smart TVs (LG, Philips, Samsung, Android TV",sVOD,€2.99,"Antenna TV S.A., ANT1 Group",-,Greece,-
,Ipla,Poland,https://www.ipla.tv/start,Movies & TV Shows,"classic polish cinema, polish tv channels, comedy series, real life series, war, romance","Polish tv shows, Polish Comedy series, Polish Talk and News, HBO chanells, War, Romance, Crime, Family, Polish music shows, Polish reality shows",I have the location info,Polish,"phone, tablet or computer",sVOD,10.00USD,Cyfrowy Polsat,-,Poland,-
,Movistar Play,"Argentina,Chile,Colombia,Ecuador,Peru,Uruguay",https://www.movistarplay.com,Movies & TV Shows,"live tv, popular movies, series, esports, play kids programme, cartoons","Drama, Action, Adventure, Comedy, Thriller, Family, Terror, Romance, Documentary, Sci-Fi, Anime, Cartoons",I have the location info,"English, Spanish","Smartphones and Tablets, iPhone and iPad, LG Smart TV , Samsung Smart TV, Sony Smart, Smart TV Phillips, Chromecast",sVOD,14.00USD,"Telefónica, S.A.",242 thousand subscribers,"Avenida de los Artesanos, 6, 28760 Tres Cantos, Madrid, Spain",-
,Shahid Plus,"Argentina,Chile,Colombia,Ecuador,Peru,Uruguay,Algeria,Bahrain,Egypt,Jordan,Kuwait,Lebanon,Morocco,Oman,Qatar,Saudi Arabia,Syria,Tunisia,UAE",https://shahid.mbc.net/,Movies & TV Shows,"arabic series, arabic movies, arabic drama, egyptian drama, concerts, news programs, historical series, gulf drama, cooking art","Concerts, Drama, Action, Adventure, Romance, Cartoons, Cooking series, History, Nature, Talk and News, Thriller, Arabic drama, Gulf drama, Kids programme",I have the location info,Arabic,"Airplay, Chromecast, Smart TVs, Apple devices, Android devices, smartphones, PC, laptop, tablets",aVOD,1.99 euro,MBC Group,-,"Dubai Media City, Dubai, United Arab Emirates",-
,Sting TV,Israel,https://www.stingtv.co.il/,Movies & TV Shows,"israeli channels, israeli series, israeli movies, kids channels, science and nature and sports, docu, israeli content","Acition, Adventure, Crime, Comedy, Science and Nature, Cartoons, Talk and News, Music, Sports, History, Thriller, Romance, Family, Kids",I have the location info,Israelian,"Android TV, Apple TV and smartphones and tablets",sVOD,"Basic package | 35 NIS per month, + Series | 45 NIS per month, The perfect package | 65 NIS per month",yes satellite tv,-,Israel,-
,Fibe Alt TV,Canada,https://www.bell.ca/Fibe-Alt-TV,Movies & TV Shows,"live events, major sports events, binge-worthy shows and popular new shows, sports, news and lifestyle shows ","Acition, Adventure, Crime, Comedy, Science and Nature, Cartoons, Talk and News, Music, Sports, History, Thriller, Romance, Family, Kids, Horror, Talk shows, Reality shows",I have the location info,English,"laptop, tablet, smartphone or even your big screen with Google ChromecastTM , Amazon Fire TV, Apple TV or many other compatible devices including an HDMI cable to your laptop",sVOD,$59.95 one-time activation fee / $89.95 per month,Bell Canada,-,Canada,-
,Showtime,USA ,https://www.sho.com/,Movies & TV Shows,"comedy tv shows, esports, cartoons, documentaries","Comedy, Cartoons, Documentary, Sports, Action, Adult, Dramy, Family, Horror, Music, Sci-Fi, Suspense",I have the location info,"English, Spanish ","smartphones, tablets, or laptops, PC, smart TVs",sVOD,$10.99/month,Showtime Networks (ViacomCBS Domestic Media Networks),-,"New York City, New York, U.S.",-
,Sky X/Ticket,"Austria,Germany",https://skyticket.sky.at/,Movies & TV Shows,"popular series, tv shows, blockbusters, esports, kids cartoons, children's programs and documentaries","News, Talk, Sports, Cartoons, Documentary, Kids programme, Adult, Comedy, Documentary, Sports, Action, Drama, Family, Horror, Music, Sci-Fi, Thriller, Classic",I have the location info,-,"smartphones, tablets, or laptops, PC, smart TVs",sVOD,"Best live sport € 9.99, The best series 1 month only € 4.99 thereafter € 9.99 per month, The latest films 1 month only € 4.99 thereafter € 9.99 per month.",-,12.5 million,"Rivergate Handelskai 92, Gate 1, 1200 Vienna, Austria",-
,Videoland,"Belgium,Netherlands",https://www.videoland.com/nl/,Movies & TV Shows,"RTL programs, favorite series, kids channel, international series","Action, Anime, Arthouse, Cabaret, Documentaries, Drama, Family, Fantasy, Horror, Thriller, Kids, Comedy, Lifestyle, Biography, Netherlands movies, Reality, Romance, Sci-Fi, Talk shows, Sport",I have the location info,Dutch,"smart TV App, PlayStation 3 or 4,  Chromecast, AirPlay, Apple TV (4th generation), HDMI cable",sVOD,-,RTL Nederland,-,"Hilversum, Netherlands",-
,OCS,France,https://www.ocs.fr/,Movies & TV Shows,"hbo series, brand new movies, kids channels, cartoons, news and documentaries","Animation, Adventure, Classic, Comedy, Short film, Documentary, Drama, Fantastic, Documentary film, Horror, Youth, Police officer",I have the location info,"French, English","smartphone, tablets, pc/laptop, apple devices, smart TVs",sVOD,"$455 per month (up to 100 users)",Orange S.A. (67%) and Groupe Canal+ (33%),"100,000 subscribers","Paris, France",-
,Sky X/Now,"Ireland,Italy,UK",https://www.nowtv.com/,Movies & TV Shows,"popular series, blockbusters, esports, entertaiment, haya tv","Action, Anime,Documentaries, Drama, Family, Fantasy, Horror, Thriller, Kids, Comedy, Lifestyle, Biography, Reality, Romance, Sci-Fi, Talk shows, Sport",I have the location info,"English, Italian","laptops and computers, tablets and smartphones, Xbox, Roku, Sony Playstation, set-top boxes, smart TVs, apple devices",sVOD,"Sky Cinema Pass £11.99, Entertainment Pass £8.99, Kids Pass £3.99, hayu Pass £3.99, 11 Sky Sports Channels £33.99.","Sky UK Limited, Sky Ireland Limited, Sky Italia S.r.l.",-,"London, United Kingdom",-
,ALTBalaji,India,https://www.altbalaji.com/,Niche content,"indian movies, indian TV series, indian web series, indian music videos, comedy","Drama, Romance, Youth, Supernaturals and Thrillers, Crazy Comedies, Box Cricket League, Music Videos, Exciting Stories",I have the location info,English,"mobile and Tablet Devices (Apple phone, Apple iPad, Android phone, Android tablet), Web browser (Desktop Browser), Android TV, and Windows (Windows PC, Windows Mobile, Windows tablet",sVOD,"$ 4.99* 3 Months, $ 12.99* 12 Months",Balaji Telefilms Limited,-,"Mumbai, India",-
,Oksusu,South Korea,http://www.oksusu.com/,Movies & TV Shows,"korean movies, korean dramas, exclusive korean content","Comedy, Drama, Talk shows, News, Game shows, Entertainment shows, Korean drama, Youth",I have the location info,Korean,"smartphones, tablets, or laptops, PC, smart TVs",sVOD,$5.72 per month,SK Broadband,-,"Jung District, Seoul, South Korea",-
,Player+,Poland,https://player.pl/playerplus,Movies & TV Shows,"polish channels, polish series, polish movies, blockbusters, esports, fashion, popular music","Crime, Custom, Comedy, Action, Thriller, Drama, Soap opera, Children, Cartoons, Sports, Popular movies",I have the location info,Polish,"mobile devices , TV sets on Smart TV platforms , digital TV STB of various operators and on console, docu, cartoons",sVOD,-,TVN Group ,-,Poland,-
,Divan.TV,Ukraine,https://divan.tv/en,Movies & TV Shows,"ukraine tv shows, ukraine popular series, ukraine movies, blockbusters, cartoons for kids","Adventure, Drama, Romance, Comedy, Cinema Classic, Thriller, Horror, Fantasy, Musical, Detective, Short, Entertaiment TV shows, Documentary TV shows, Cartoons, Education, English, Short-lenght films, Ukraine radio stations",I have the location info,"English, Russian, Ukrainian",,sVOD,$9.99 per month,"Andrey Kolodyuk","700,000 subscribers","Kiev, Ukraine",-
,Fox+,"Australia,Brazil,Mexico",https://www.foxplus.com/ph,Movies & TV Shows,"TV series, Hollywood blockbusters, Asian movies, live sports and inspiring documentaries","Action, Anime, Documentaries, Crime, Comedy, Classics, Thriller, Horror, Fantasy, Musical, Detective, Drama, Cartoon, History, Sports",I have the location info,English with subtitles in Spanish / Portuguese,"smart TVs, smartphones, tablets, computer, media player",sVOD,P249 (inclusive of VAT),"Fox Networks Group (Walt Disney Direct-to-Consumer & International, The Walt Disney Company Latin America)","94,700,000","Atlanta, Georgia",-
,Wavo,"Australia,Brazil,Mexico,Algeria,Bahrain,Egypt,Jordan,Kuwait,Lebanon,Morocco,Oman,Qatar,Saudi Arabia,Syria,Tunisia,UAE",https://www.wavo.com/,Movies & TV Shows,"Arabic, Western, Turkish movies, TV shows online, favourite shows, exclusive HBO box-sets, Hollywood and Arabic blockbuster movies and kids' content","Award winning films, Cult classics, Action, Adventure, Animation, Arabic, Comedy, Crime, Documentary, Drama, Family, Horror, Kids, Music, Romance, Sci-Fi, Thriller, Sports",I have the location info,English and Arabic,"smartphones, tablets, laptops, PCs, and smart TV’s",aVOD,-,OSN ,-,"Dubai Media City, Dubai, United Arab Emirates",-
,beIN Connect ,"Algeria,Egypt,Lebanon,Oman,Saudi Arabia,Tunisia,UAE",https://www.beinconnect.com.tr/hosgeldiniz,eSports,"entertainment, live sport action, live tv","Action, Adventure, Anime, Biography, Crime, Comedy, Drama, Fantasy, Festival, Thriller, Romantic comedy, Crime, Classic movies, Documentary, Sports, Cartoons, Family-children movies",I have the location info,Turkish,"smartphones, tablets, laptops, PCs, and smart TV’s",sVOD,$54.99/month,"Digiturk, Miramax (51%; co-owned with ViacomCBS)","55 million","Doha, Qatar",https://i.imgur.com/WGUjQf9.png
,CBS All Access,"Canada,USA",https://www.cbs.com/all-access/,Movies & TV Shows,"popular series, tv shows, blockbusters, oversea series, live tv","Drama, Comedy, Western, History, Horror, Thriller, Adventure, War, Music, Noir, Suspense, Docudrama, Action, Sports, Romance, Family, Cartoons, Caper Story, Action/Adventure, Historical Fiction, Television",I have the location info,English,"smartphones, tablets, laptops, PCs, and smart TV’s, Playstation 4, Roku, Xbox One",sVOD,$5.99/month,CBS Interactive (ViacomCBS),4 million	,"New York, New York, United States",-
,Maxdome/Joyn,"Canada,USA ,Austria,Germany",https://www.maxdome.de/,Movies & TV Shows,"Hollywood blockbusters, feature films, international series hits, documentaries, children's programs, exclusive local content and in-house productions","Drama, Comedy, Western, History, Horror, Thriller, Adventure, War, Music, Docudrama, Action, Sports, Romance, Family, Cartoons,  Action/Adventure, Historical Fiction, Television",I have the location info,Deutsch," TV, laptop, smartphone and in the ICE",sVOD,"7,99 euro",Joyn GmbH,-,"Munich, Germany",-
,YeloPlay,Belgium,https://www.yeloplay.be/,Movies & TV Shows,"blockbusters, tv series, comedy, suspense, action, horror, fantasy","Action, Animation, Adventure, Documentaries, Drama, Family, Horror, Comedy, Romance, Sci-Fi, Fantasy, Thriller, Crime, Flemish Movie, Stand Up Comedy, Eric Van Looy's Collection, Lieven Trio's Collection, Blockbusters, Cartoons",I have the location info,"Nederlands, Français, English","smartphones, tablets, laptops, PCs, and smart TV’s",sVOD,additional price for every movie/serie,Telenet,-,"Mechelen, Belgium ",-
,Viaplay,"Denmark,Finland,Norway,Sweden",https://viaplay.se/,Movies & TV Shows,"movies, series, children's favorites & esports","Action, Animation, Adventure, Documentaries, Drama, Family, Horror, Comedy, Romance, Sci-Fi, Fantasy, Thriller, Crime, Blockbusters, Cartoons, Sports",I have the location info,Swedish,"Windows , Mac , iOS , Apple TV , Android , Playstation 3 , Playstation 4 , Xbox 360 , Xbox One , Chromecast and Smart TV ",sVOD,"Viaplay Sport 399kr / month, Viaplay Total 449kr / month",Nordic Entertainment Group,-,"Stockholm , Sweden",-
,SFR Play,France,https://play.sfr.fr/home,Movies & TV Shows,"popular movies, TV series and cartoon","Private collection series, European series, US series, Suspense series, Drama series, Eyeful, Comedy, Drama, Suspense, Family, French cinema, Shows, Documentaries, Nature, History, Real life, Motors,Science, History, Science and techno, Crime and investigations, Kids, Cartoons, Shows, Karaoke, Sports, Beauty and imagination",I have the location info,French,"Windows , Mac , iOS , Apple TV , Android , Playstation 3 , Playstation 4 , Xbox 360 , Xbox One , Chromecast and Smart TV ",sVOD,-,"Altice France",-,"Altice Campus, Paris, France",-
,TIMVision,Italy,https://www.timvision.it/onboarding,Movies & TV Shows,"popular cinema, tv series, tv programs, cartoons","Action, Adventure, Comedy, Drama, Family, Romance, Animation, Horror, Thriller, Fantasy, Crime, Western, Musical",I have the location info,Italian,"Web browser, Android, iOS, Xbox One, Sony, LG, Samsung, Android smartphones and tablets, Apple devices",sVOD,€ 5 a month,Telecom Italia,1.5 subscribers,Italy,-
,RTL XL,Netherlands,https://www.rtl.nl/,Movies & TV Shows,"tv series, showbuz news, media content, radio","Sports, Game show, Soap opera, Reality show, Talent show, Interactive television, Quiz",I have the location info,Dutch,"Smartphones, Tablets",sVOD,€ 3.99 a month,RTL Nederland,-,Nederlands,-
,N Play,Portugal,https://www.nplay.com/,Children,Free Multi-Player Browser Games,"Multi-player browser games, Flash games, Begone, Begone: Warland 2",I have the location info,English,"Laptop, PC, smartphones",aVOD,-,-,-,-,-
,Orange Cine,Spain,https://cineday.orange.fr/,Movies & TV Shows,"Mobiles and plans, Internet, Internet + Mobile Packs, House, TV and entertainment","Action, Adventure, Comedy, Drama, Western, Romance, Romance /Drama, Comedy/Drama, Suspense, Fantasy, Animation, Sports, Cartoons, Animated series, Family, Cartoons",I have the location info,"English, French and other worldwide languages","laptops and computers, tablets and smartphones, Xbox, Roku, Sony Playstation, set-top boxes, smart TVs, apple devices",sVOD,-,"French State (23%), Public float (77%)[","about 7 million subscribers","15th arrondissement, Paris, France",-
,Teleclub Play,Switzerland,https://www.teleclub.ch/play/,Movies & TV Shows,"Hollywood and Swiss Films, TV Series from CBS Television Studios, Sony Pictures Television, Warner Bros. Television and ABC Studios, Documentaries from National Geographic Channel, Discovery Networks, History Channel and BBC Worldwide Ltd, Kids Shows and Kids Movies from Disney–ABC Television","Action, Adventure, Comedy, Drama, Romance, Western, War, Crime, Suspense, Sci-Fi, Horror, Thriller, Animation, Cartoons, Sports",I have the location info,"Deutsch, French","Via Swisscom TV-Box on TV I online via PC, laptop I via Swisscom TV Air on the go on tablets and smart phones",sVOD,only CHF 12.90 / month,Swisscom,-,"L? wenstrasse 11, Zurich, Canton of Zurich, Switzerland",-
,Eros Now,India,https://erosnow.com/,Movies & TV Shows,"HD, Bollywood and regional Indian movies, TV shows, Eros Now Originals, Music and Music Videos","Action, Animation, Classics, Comedy, Crime, Devotional, Drama, Family, Horror, Kids, Mature, Mistery, Patroic, Romance, Romantic comedy, Sports, Thriller",I have the location info,"Hindi, English, Bangla, Tamil, Telugu, Gujarati, Kannada, Bhojpuri, Malayalam, Punjabi, Marathi, Kashmiri, Urdu","Apple TV, Android TV, Roku, Google Chromecast, iOS and Android mobile devices",sVOD,INR 49,Eros International plc,-,"Mumbai, Maharashtra, India",-
,au Smart Pass,Japan,https://www.au.com/english/entertainment/#smartpass,Movies & TV Shows,"au Smart pass, Video pass, Book pass, Uta pass, uP!!!Live pass, Disney pass, News pass, Apple Music","Japaneese movies, Foreign drama, Foreign drama, Anime, Family, Documentaries, Disney, Cartoons, Karaoke, Sports, Romance, Crime, Action, Thriller, Horror, Crime, Adventure, Animation, Music, Books",I have the location info,"English, Japaneese","Smart TV Box, Smart TV Stick, STW2000, Chromecast, Apple TV, and TVs that support Video Pass is required for using on TVs.",sVOD,"au Smart Pass ¥372, au Smart Pass Premium ¥499","KDDI",-,Japan,-
,Play Now,Poland,https://www.playnow.com/,eSports,"lottery, keno, instants, casino, live casino, sports, pools, poker","Casino games, Lottery, Keno, Sports, Live Casino, Poker, Bingo, Instants",I have the location info,English,"smartphones, smart TVs, playstation, pc and laptops",Online Gambling Website,play with tokens,British Columbia Lottery Corporation,-,"74 West Seymour Street, Kamloops, BC V2C 1E2",-
,beIN Connect,"Algeria,Egypt,Lebanon,Oman,Saudi Arabia,Tunisia,UAE",https://www.beinconnect.com.tr/hosgeldiniz,Movies & TV Shows,"750 current movies, more than 140 foreign series, numerous special programs for children, domestic and foreign documentary content, national and international TV channels and Digiturk's unique sports content ","Foreign film, Domestic film, Foreign series, Domestic series, Sports, Cartoons",I have the location info,Turkish,"SmartTV, smartphone, tablet and computer",sVOD,AU$19.99 per month,beIN Media Group,-,"Doha, Qatar",https://i.imgur.com/WGUjQf9.png
,Starz,"Poland,Algeria,Bahrain,Egypt,Jordan,Kuwait,Lebanon,Morocco,Oman,Qatar,Saudi Arabia,Syria,Tunisia,UAE,USA",https://www.starz.com/us/en/,Movies & TV Shows,"exclusive originals, hit movies, popular series","Popular movies, Just added, Family favorites, Her story, trending now, Black cinema, Kids, Comedy, Romance, Last chance, Crime dramas, Documentary, Action, Inspirational, Outlander, Horror, Stand Up, Sports, Romantic Comedies, Cult, Spanish movies, Sci-Fi, Classics, Drama, Western",I have the location info,"English, Spanish ","smartphones and tablet, streaming media players, game consoles, smart TVs, PCs and laptops",sVOD,$5.39 per month,Starz Inc. (Lionsgate),26.5 million global subscribers,"Meridian, Colorado",https://i.imgur.com/xqKXAEp.png
,RTL Now,Austria,https://www.tvnow.de/rtl,Movies & TV Shows,"Films , series , sports , documentaries , comedy","Adventure, Action, Animation, Anime, Comedy, Crime,Drama, Erotic, Fantasy, Horror, Independent, Children, Classic, Cook, Comedy, Lifestyle, Lags, Music, Mustery, LGBT, Romance, Science Fiction, Show, Sports, Soap,Thriller, Animals, Western, Documentarion, News and Magazines, Real Lifem Reality, Report",I have the location info,Deutsch,"smartphones and tablet, streaming media players, game consoles, smart TVs, PCs and laptops",sVOD,Premium : Only € 4.99  per month,RTL interactive GmbH,"1.4 million","Luxembourg",-
,Proximus TV,-,https://www.proximus.be/,Movies & TV Shows,"Proximus Pickx, Family, Sports, Netflix, Movies & Series, Be tv","Adventure, Action, Animation, Comedy, Crime, Documentary, Drama, Erotic, Fantasy, Horror, Thriller, Family, Sports, Cartoons, History, Nature, Sci-Fi",I have the location info,"English, Belgian, Français, Nederlands","smartphones and tablet, streaming media players, game consoles, smart TVs, PCs and laptops",sVOD,Internet + TV € 60,Proximus Group,"1.61 million","Brussels, Belgium",-
,C More,"Denmark,Finland,Norway,Sweden",https://www.cmore.se/,Movies & TV Shows,"Stream movies, comics, children's movies, sports, TV channels and TV4 programs free of advertising","Action, Comedy, Swedish movies, Thrillers, Horror, Sci-Fi, Romance, Adult movies, Documentaries, Cartoons, Sports",I have the location info,Swedish,"smartphones and tablet, streaming media players, game consoles, smart TVs, PCs and laptops",sVOD,SEK 139 / month,Telia Company,-,"Tegeluddsvägen 3-5, SE-115 84, Stockholm",-
,MyCanal,France,https://www.canalplus.com/,Movies & TV Shows,"series streaming, popular movies, blockbusters, tv series, tv programme","Action, Adventure, Comedy, Drama, Romance, Western, War, Crime, Suspense, Sci-Fi, Horror, Thriller, Animation, Cartoons, Sports",I have the location info,French,"on smartphone, tablet, computer, Chromecast, Android TV, Apple TV and Xbox",sVOD,€ 19.90 / month ,"StudioCanal, Canal, OCS (33%), Canal 8, Canal Star, Canal News, M7 Group","16.2 million subscribers","Issy-les-Moulineaux, France",https://i.imgur.com/4Aw999s.png
,Magenta TV App,Germany,https://www.telekom.de/zuhause/tarife-und-optionen/zubuchoptionen/magenta-tv-app-plus,Movies & TV Shows,"series streaming, popular movies, blockbusters","Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War and Western",I have the location info,"English, Deutsch, Spanish etc.","smartphone, table or TVs",sVOD,€ 4.95 per month for Magenta Zuhause with MagentaTV customers or € 7.95 for MagentaZuhause customers,"Deutsche Telekom",-,"Bonn, Germany",-
,NL Ziet,Netherlands,https://www.nlziet.nl/nl/,Movies & TV Shows,"holland programmes, live tv, esports, tv shows","Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War and Western",I have the location info,Nederlands,"TV, computer, tablet or smartphone",sVOD,€ 7.95 per month,"Talpa TV , RTL Netherlands and the Dutch Public Broadcasting","150,000","Koos Postemalaan 4, 1217 ZC, Hilversum, Noord-Holland",-
,Meo TVCine,Portugal,https://www.meo.pt/,Niche content,"mobile and fixed telecomunication, internet, telephone, television ( Netflix, entertainment, news, tv cine, esports, Disney)","Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War and Western, Cartoons",I have the location info,"Portuguese, English","smartphone, tablet, computer, Chromecast, Android TV, Apple TV and Xbox",sVOD,10.49€ / month,"Altice Portugal (Altice Europe)","1.2 million subscribers","Av. Álvaro Pais, 2 - Lisbon, Portugal",-
,,Turkey,https://www.tivibu.com.tr/,Movies & TV Shows,"documentaries, tv shows, popular movies, music, series","Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War and Western, Cartoons, Documentary",I have the location info,Turkish,"smartphone, tablet, computer, Chromecast, Android TV, Apple TV and Xbox",sVOD,"15,90 TL","Levent Yapılandırma Yönetimi A.Ş. (55%),Treasury of Turkey(30%)","47.8 Million subscribers","Altındağ, Turkey",https://i.imgur.com/ztYsBrn.jpg
,TV2 Play,Denmark,https://forside.play.tv2.dk/,Movies & TV Shows,"tv shows, talk shows, best series, blockbusters, esports","Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War and Western, Cartoons, Documentary, Talk and News, History",I have the location info,Danish,"smartphone, tablet, PC, laptop or TVs",sVOD/aVOD,"Basis 49 kr./md.With commercials, 79kr/md Without advertising to 179kr./md. for premium channel","Danish Ministry of Culture",-,"Kvægtorvet, Odense",-
